repo,stars,language,commit_sha,sites_total,instrumented,uninstrumented,high,medium,low,status,scan_time_s
langchain-ai/langchain,131446,Python,feb992abfe01c28a669980dad022c5eed58e878d,215,0,215,16,195,4,ok,1
langchain-ai/langgraph,27811,Python,ad17e8b002ed93655ee89219a2208ea367d030c5,56,0,56,0,56,0,ok,1
run-llama/llama_index,48105,Python,d3be017add958ea30686ddd9fa3bcbb06c917e1a,165,0,165,42,119,4,ok,3
crewAIInc/crewAI,47455,Python,e21c50621496d4ad86eb2f3b3b8c08170b2eaf67,26,0,26,22,4,0,ok,1
stanfordnlp/dspy,33240,Python,9406291243487ee17054db9c3b38f5937e1d2f38,6,0,6,2,4,0,ok,0
pydantic/pydantic-ai,15918,Python,20ba0617c62721054d22384db460dd2dca4c1f99,5,0,5,5,0,0,ok,1
agno-agi/agno,38999,Python,763e2b3c3f1dc631a21169415d8cf8df8ee6f341,33,0,33,31,2,0,ok,4
browser-use/browser-use,84889,Python,eee98ff2725739b56fdd7ebf71ac04a5eab54cf7,31,0,31,22,9,0,ok,1
mem0ai/mem0,51363,Python,b8a5ca1b706d4bb200f8a96ae2319b6e8b51304c,69,0,69,23,25,21,ok,1
BerriAI/litellm,41373,Python,58120537af4f3975550206a88bdf133e31832de8,67,0,67,10,56,1,ok,4
Aider-AI/aider,42486,Python,bdb4d9ff8ef88c3015a9845119bff37f49c93d7b,3,0,3,0,3,0,ok,0
567-labs/instructor,12624,Python,7cf80156d51b415f080b524c75ad320f3f093fa4,6,0,6,6,0,0,ok,0
openai/openai-agents-python,20387,Python,9f5575ada4e7852a182bbe76f4ec21bb6e88268c,4,0,4,3,1,0,ok,1
anthropics/anthropic-sdk-python,3037,Python,d7c0974ce6ab94ca135b10b2a45308203c0e0c7e,2,0,2,2,0,0,ok,1
Doriandarko/claude-engineer,11169,Python,0a9e4b309bf6b2eda05dcf073cf5094beb08e0c8,8,0,8,8,0,0,ok,0
gptme/gptme,4251,Python,90202f246f04855a6f66ad917610ca0ad1dfcbc2,3,0,3,3,0,0,ok,1
kyegomez/swarms,6150,Python,0b683f5495092e6726336bdaf00ea22ecca2cb4f,6,0,6,1,0,5,ok,0
AgentOps-AI/agentops,5411,Python,a855a92dfaa7fd4423f9a68b1ba0295a3a72da80,7,0,7,7,0,0,ok,1
Chainlit/chainlit,11826,Python,39e469f65d21f25a3ec8604463a6409e9ed0c961,0,0,0,0,0,0,ok,0
chatchat-space/Langchain-Chatchat,37668,Python,49165d6af4438aa7e8a1f71ce276db55f4405151,24,0,24,3,21,0,ok,0
awslabs/agent-squad,7545,Python,8048bcf308fcc5f5768a9c2d4c3f139b0e81f4e6,5,0,5,5,0,0,ok,0
griptape-ai/griptape,2503,Python,6570a828372ce5ea1517ad15cd87ea7786053635,5,0,5,5,0,0,ok,0
docker/genai-stack,5255,Python,0444f467c600658841580866c4913eaab327b8ec,7,0,7,0,7,0,ok,1
comet-ml/opik,18531,Python,3dee799dbf9142833619967abc1e13c1d916cfbd,64,0,64,14,23,27,ok,2
shroominic/codeinterpreter-api,3858,Python,9482d36f32841a1ffd641db67f772bad1fc622b7,13,0,13,0,12,1,ok,0
e2b-dev/open-computer-use,1924,Python,abbf86026549ac31fb4447312eb70191d7eb3101,0,0,0,0,0,0,ok,1
explosion/spacy-llm,1377,Python,99ac9229eb1cf6fda2775af702b61d9f8ad33077,1,0,1,0,1,0,ok,0
TaskingAI/TaskingAI,5381,Python,f0092d6b2dd82e98e188e0b9849fdd4c7230dd98,10,0,10,0,0,10,ok,1
LearningCircuit/local-deep-research,4199,Python,a8943d74acf8384dea94827ad9f6a1aea13662b4,93,0,93,0,93,0,ok,2
Storia-AI/sage,1267,Python,f47fa43e5b8675abad90a7285c1b43b303ba4464,3,0,3,1,2,0,ok,1
